id,entry_type,domain,age_min_months,age_max_months,description,severity_if_absent,suggested_follow_up_question,source,phase_1_scope
HEAR-M-002,milestone,Hearing,0,3,Recognizes caregiver's voice,,,Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-M-003,milestone,Hearing,0,3,Calms to a familiar voice,,,Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-M-004,milestone,Hearing,3,6,Turns head toward interesting sounds,,,Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-M-005,milestone,Hearing,3,6,Coos and vocalizes,,,Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-M-006,milestone,Hearing,3,6,Reacts to changes in tone of voice,,,Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-M-007,milestone,Hearing,6,9,Responds to own name,,"Does he respond when called from behind, out of sight?",Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-M-008,milestone,Hearing,6,9,"Babbles (ba-ba, ma-ma)",,Does he babble sounds like 'ba-ba' or 'ma-ma' on his own?,Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-M-009,milestone,Hearing,6,9,Enjoys sound-making toys and games,,,Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-M-010,milestone,Hearing,9,12,"Understands simple words ('no', 'bye-bye')",,,Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-M-011,milestone,Hearing,9,12,Imitates sounds,,,Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-M-012,milestone,Hearing,9,12,Points to ask for things,,,Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-RF-001,red_flag,Hearing,0,3,No startle response to loud sounds,,"Does he react at all to loud sounds, like a door slamming, even without turning his head?",Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-RF-002,red_flag,Hearing,0,3,Doesn't seem to notice or calm to voices,,,Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-RF-003,red_flag,Hearing,3,6,Doesn't turn toward sound source,,"Does he turn or react when there's a loud sound behind him, even if he's not looking at you?",Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-RF-004,red_flag,Hearing,3,6,Little to no vocal play,,,Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-RF-005,red_flag,Hearing,3,6,"Watches faces very intently, as if relying on visual cues instead of sound",,"Does he watch your face very closely when you're talking to him, more than other children his age?",Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-RF-006,red_flag,Hearing,6,9,No response to name called from behind or out of sight,,,Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-RF-007,red_flag,Hearing,6,9,Little or no babbling,,,Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-RF-008,red_flag,Hearing,6,9,Indifferent to sound-making toys,,,Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-RF-009,red_flag,Hearing,9,12,Doesn't understand simple familiar words,,,Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-RF-010,red_flag,Hearing,9,12,Doesn't attempt to imitate sounds,,,Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-RF-011,red_flag,Hearing,9,12,Relies heavily on visual and gestural cues,,,Ayesha KB — ASHA; Hearing Health Foundation,in scope
HEAR-RF-012,red_flag,Hearing,0,72,Frequently pulls or points at ears,,"Has she had ear infections before, that you know of?",Ayesha KB — ASHA; Hearing Health Foundation,in scope (any age)
HEAR-RF-013,red_flag,Hearing,0,72,Says 'what?' often,,,Ayesha KB — ASHA; Hearing Health Foundation,in scope (any age)
HEAR-RF-014,red_flag,Hearing,0,72,"Sits very close to sound sources (TV, speaker)",,Does she sit very close to the TV or speak louder than the other children?,Ayesha KB — ASHA; Hearing Health Foundation,in scope (any age)
HEAR-RF-015,red_flag,Hearing,0,72,Noticeably louder or quieter voice than peers,,,Ayesha KB — ASHA; Hearing Health Foundation,in scope (any age)
HEAR-RF-016,red_flag,Hearing,0,72,History of frequent ear infections,,,Ayesha KB — ASHA; Hearing Health Foundation,in scope (any age)
